	train_steps	train_losses	train_accs	dev_accs
0	0	0.0	0.4393957276053346	0.43087478559176673
1	1	2.2425639629364014	0.5429009795822023	0.5584905660377358
2	501	0.5517309308052063	0.764487194618199	0.7639794168096055
3	1001	0.5063850283622742	0.7981234509618789	0.7965694682675815
4	1501	0.44375234842300415	0.8288091585034817	0.8205831903945111
5	2001	0.43757718801498413	0.8443290452024077	0.8343053173241852
6	2501	0.36449548602104187	0.8463354183878201	0.8365351629502573
7	3001	0.3872036635875702	0.8534167355128054	0.8435677530017153
8	3501	0.31396484375	0.85359376844093	0.8427101200686107
9	4001	0.37484636902809143	0.827333884102443	0.8044596912521441
10	4501	0.3374945819377899	0.8487548684055234	0.8224699828473413
11	5001	0.3359277546405792	0.8446241000826153	0.8385934819897084
12	5501	0.34641700983047485	0.8511153074471852	0.8459691252144083
13	6001	0.31779587268829346	0.8733034344388056	0.8593481989708405
14	6501	0.2843475937843323	0.8580195916440458	0.8337907375643224
15	7001	0.29413488507270813	0.8790865100908769	0.8521440823327616
16	7501	0.2763460576534271	0.8801487076596247	0.8603773584905661
17	8001	0.25560861825942993	0.8847515637908651	0.8572898799313894
18	8501	0.28764912486076355	0.8679924465950667	0.8533447684391081
19	9001	0.27609512209892273	0.8909477162752272	0.8641509433962264
20	9501	0.24481092393398285	0.882568157677328	0.8499142367066895
21	10001	0.22030384838581085	0.8725362917502656	0.8509433962264151
22	10501	0.24313858151435852	0.8979700224241709	0.8550600343053173
23	11001	0.19901004433631897	0.8631535465596601	0.8406518010291595
24	11501	0.21391719579696655	0.8998583736575003	0.8590051457975987
25	12001	0.26997682452201843	0.9088280420158149	0.8680960548885077
26	12501	0.2099734991788864	0.9023368346512451	0.8670668953687821
27	13001	0.22558440268039703	0.9003894724418742	0.8536878216123499
28	13501	0.1841801404953003	0.9066446359022778	0.8586620926243568
29	14001	0.17918004095554352	0.9080608993272749	0.8499142367066895
30	14501	0.2287028431892395	0.912309689602266	0.8506003430531732
31	15001	0.1894066035747528	0.9212203469845391	0.8620926243567753
32	15501	0.1893729716539383	0.9140210079074708	0.8600343053173242
33	16001	0.18786610662937164	0.9207482591762067	0.8574614065180103
34	16501	0.17882558703422546	0.9176796884220465	0.8542024013722127
35	17001	0.14452765882015228	0.9216334238168299	0.8519725557461406
36	17501	0.1315641701221466	0.924465950666824	0.8490566037735849
37	18001	0.13114842772483826	0.912958810338723	0.8602058319039451
38	18501	0.12303581088781357	0.9370352885636728	0.8619210977701544
39	19001	0.12659737467765808	0.9258232031157795	0.8428816466552316
40	19501	0.13894867897033691	0.9175616664699634	0.8550600343053173
41	20001	0.07535266876220703	0.9412840788386639	0.8572898799313894
42	20501	0.1367279291152954	0.9329635312168063	0.8548885077186964
43	21001	0.13778124749660492	0.931724300719934	0.8569468267581475
44	21501	0.1466747671365738	0.9381564971084622	0.855917667238422
45	22001	0.08818340301513672	0.9475982532751092	0.8497427101200686
46	22501	0.13393503427505493	0.9343797946418034	0.860548885077187
47	23001	0.08242137730121613	0.9493685825563555	0.8564322469982847
48	23501	0.1383432298898697	0.9490145167001062	0.851114922813036
49	24001	0.0663181021809578	0.9427003422636611	0.8543739279588336
50	24501	0.06418868154287338	0.946713088634486	0.8518010291595197
51	25001	0.09890823811292648	0.9331995751209725	0.8507718696397941
52	25501	0.09594127535820007	0.9509618789094771	0.855917667238422
