	epochs	train_losses	train_accs	dev_accs
0	0	0.6711316108703613	0.6480699769354629	0.635109951546776
1	1	0.5999863743782043	0.8175290482614561	0.8065598210957883
2	2	0.486885130405426	0.839157491622786	0.8304137159895639
3	3	0.38126271963119507	0.8647025545062883	0.8497950055907566
4	4	0.34142646193504333	0.876800557030332	0.8639582556839359
5	5	0.3147193491458893	0.8806736585578137	0.8624673872530749
6	6	0.2995152175426483	0.8878541276817964	0.8591129332836377
7	7	0.28106361627578735	0.9066103833935333	0.8654491241147969
8	8	0.2632206976413727	0.9149658383741677	0.8691762951919493
9	9	0.24543224275112152	0.919361155837939	0.8650764070070817
10	10	0.22774125635623932	0.9332869141389964	0.8606038017144987
11	11	0.2093752771615982	0.9413812611514861	0.8553857622064853
12	12	0.1897895634174347	0.9482571043126333	0.8620946701453597
13	13	0.17362110316753387	0.953000565733931	0.8531494595601938
14	14	0.15798553824424744	0.9640106183907046	0.8535221766679091
15	15	0.13298307359218597	0.9711040515253058	0.8516585911293328
16	16	0.1121746227145195	0.9761956569041299	0.8542676108833396
17	17	0.09805125743150711	0.9816354062404804	0.8505404398061871
18	18	0.08599444478750229	0.9795900604900126	0.8497950055907566
19	19	0.07742837071418762	0.9870316375821402	0.8568766306373462
20	20	0.06599576026201248	0.987292745550285	0.8509131569139023
21	21	0.05311735346913338	0.9926889768919448	0.8568766306373462
22	22	0.044499948620796204	0.9905565951520954	0.8497950055907566
23	23	0.041058219969272614	0.9882936594281736	0.8557584793142006
24	24	0.04885692149400711	0.9845511118847643	0.8486768542676109
