	epochs	train_losses	train_accs	dev_accs
0	0	0.6244863271713257	0.7811480046999434	0.7838240775251584
1	1	0.5401637554168701	0.8069541755515905	0.8009690644800597
2	2	0.4540139138698578	0.8150050045693894	0.8080506895266493
3	3	0.4317573308944702	0.82423081944384	0.8244502422661201
4	4	0.4089335799217224	0.8526480699769354	0.8576220648527767
5	5	0.3800877034664154	0.8610470429522608	0.8594856503913529
6	6	0.3478374779224396	0.8686626920231516	0.8658218412225122
7	7	0.32881537079811096	0.8645720005222159	0.8654491241147969
8	8	0.31907740235328674	0.8697941598851124	0.8684308609765188
9	9	0.30946752429008484	0.8741894773488837	0.8658218412225122
10	10	0.30463945865631104	0.8695765699116584	0.8598583674990682
11	11	0.30191707611083984	0.876365377083424	0.8721580320536713
12	12	0.29427677392959595	0.8835458462074067	0.8706671636228103
13	13	0.2858597934246063	0.8816745724357021	0.8814759597465524
14	14	0.276763379573822	0.8915966752252056	0.8799850913156914
15	15	0.2681941092014313	0.8905522433526263	0.8755124860231085
16	16	0.2617398500442505	0.8958614387049044	0.873276183376817
17	17	0.26449576020240784	0.8942512729013447	0.873276183376817
18	18	0.2577725946903229	0.9042168936855389	0.8792396571002609
19	19	0.24731244146823883	0.9015622960093999	0.876257920238539
20	20	0.24264664947986603	0.9046955916271379	0.8803578084234066
21	21	0.23557008802890778	0.9096566430218895	0.873276183376817
22	22	0.23051132261753082	0.913790852517516	0.8781215057771151
23	23	0.22057941555976868	0.924931459158362	0.8773760715616847
24	24	0.2090795487165451	0.9221463074981505	0.8669399925456579
