	epochs	train_losses	train_accs	dev_accs
0	0	0.5558758974075317	0.7841942643282998	0.7856876630637346
1	1	0.5178810358047485	0.8095217372383481	0.8199776369735371
2	2	0.4756733179092407	0.8133078027764481	0.8181140514349609
3	3	0.4716958999633789	0.8133513207711389	0.8173686172195304
4	4	0.4733131229877472	0.8003829583532791	0.8099142750652255
5	5	0.4784996807575226	0.8123939248879412	0.8147595974655236
6	6	0.478035569190979	0.8111754210365987	0.8147595974655236
7	7	0.47034603357315063	0.8178771922189826	0.8229593738352591
8	8	0.46953120827674866	0.8237521215022412	0.8270592620201267
9	9	0.4591532349586487	0.8177031202402193	0.8117778606038017
10	10	0.46092069149017334	0.8196179120066147	0.8237048080506896
11	11	0.4874740242958069	0.7714434918838939	0.7797241893402908
12	12	0.5931872129440308	0.7967274467992514	0.7972418934029072
13	13	0.746985912322998	0.8301492667217895	0.8263138278046962
14	14	0.666938066482544	0.824665999390748	0.8173686172195304
15	15	0.5140921473503113	0.8244048914226032	0.8278046962355572
16	16	0.4521216154098511	0.8414204273467079	0.8415952292210213
17	17	0.4543139636516571	0.8355454980634492	0.8356317554975773
18	18	0.4483145475387573	0.8412028373732539	0.844204248975028
19	19	0.4379822909832001	0.748291918708386	0.7521431233693626
20	20	0.4442233145236969	0.8436398450759389	0.8445769660827432
21	21	0.43788930773735046	0.8469907306671308	0.8434588147595975
22	22	0.42332813143730164	0.8283215109447757	0.8311591502049944
23	23	0.4211285412311554	0.8375473258192262	0.8363771897130078
24	24	0.42539775371551514	0.8472083206405849	0.8389862094670145
