	epochs	train_losses	train_accs	dev_accs
0	0	0.5252963304519653	0.8354149440793768	0.8266865449124114
1	1	0.4486178159713745	0.849862918316724	0.8356317554975773
2	2	0.3653146028518677	0.855868401584055	0.8483041371598956
3	3	0.3345506191253662	0.8775403629400758	0.870294446515095
4	4	0.3041916489601135	0.8831977022498804	0.874767051807678
5	5	0.2805529534816742	0.894860524827016	0.8825941110696981
6	6	0.2684329152107239	0.8996475042430044	0.8837122623928438
7	7	0.2610192894935608	0.9023891379085252	0.8859485650391353
8	8	0.25569573044776917	0.9023456199138343	0.8881848676854268
9	9	0.24384254217147827	0.8998650942164585	0.8811032426388371
10	10	0.2416391521692276	0.9047826276165194	0.8837122623928438
11	11	0.23734529316425323	0.9036511597545586	0.8799850913156914
12	12	0.2287813127040863	0.9179250620131424	0.8904211703317182
13	13	0.22264978289604187	0.9170111841246356	0.8893030190085724
14	14	0.21678683161735535	0.9147047304060228	0.8878121505777116
15	15	0.21465636789798737	0.9133991905652987	0.8874394334699963
16	16	0.2074306756258011	0.9243657252273815	0.8911666045471487
17	17	0.20642760396003723	0.92158057356717	0.8870667163622811
18	18	0.20003454387187958	0.926933286914139	0.8859485650391353
19	19	0.19711166620254517	0.9318073023195091	0.8907938874394334
20	20	0.1889496147632599	0.9342443100221942	0.8889303019008572
21	21	0.18029086291790009	0.9392488794116367	0.8893030190085724
22	22	0.17748165130615234	0.9346359719744114	0.8878121505777116
23	23	0.17181161046028137	0.9456025066364941	0.8922847558702944
24	24	0.1649758368730545	0.9472561904347447	0.8878121505777116
