	epochs	train_losses	train_accs	dev_accs	dev_prec	dev_rec	dev_f
0	0	0.3560411036014557	0.8423723922527202	0.8405333333333334	[0.99280576 0.15873016]	[0.83890578 0.83333333]	[0.90939044 0.26666667]
1	1	0.3193669021129608	0.8658145337882569	0.86	[0.96551724 0.46428571]	[0.86725664 0.78787879]	[0.91375291 0.58426966]
2	2	0.3119122087955475	0.8663916755784149	0.8598666666666667	[0.96226415 0.31034483]	[0.83606557 0.69230769]	[0.89473684 0.42857143]
3	3	0.3134342432022095	0.8694641068730797	0.8608	[0.96482412 0.58      ]	[0.90140845 0.80555556]	[0.93203883 0.6744186 ]
4	4	0.2972620129585266	0.8717556992751778	0.8610666666666666	[0.95673077 0.42553191]	[0.88053097 0.68965517]	[0.91705069 0.52631579]
5	5	0.30392685532569885	0.8739284683675375	0.8621333333333333	[0.90721649 0.57692308]	[0.88888889 0.625     ]	[0.89795918 0.6       ]
6	6	0.29504701495170593	0.8768481268353958	0.8670666666666667	[0.95698925 0.5       ]	[0.88557214 0.74193548]	[0.91989664 0.5974026 ]
7	7	0.2906005084514618	0.8760333384257609	0.8649333333333333	[0.96666667 0.55102041]	[0.8877551  0.81818182]	[0.92553191 0.65853659]
8	8	0.2876731753349304	0.8802261037836737	0.8674666666666667	[0.94871795 0.40909091]	[0.89516129 0.6       ]	[0.92116183 0.48648649]
9	9	0.2836592495441437	0.8822800495662949	0.8688	[0.95067265 0.54347826]	[0.90987124 0.69444444]	[0.92982456 0.6097561 ]
10	10	0.2870037853717804	0.8830099641832595	0.8698666666666667	[0.97395833 0.43181818]	[0.88207547 0.79166667]	[0.92574257 0.55882353]
11	11	0.27726274728775024	0.886269117821799	0.8676	[0.92417062 0.54545455]	[0.92857143 0.52941176]	[0.9263658  0.53731343]
12	12	0.2762143611907959	0.8861163449949925	0.8658666666666667	[0.97979798 0.65306122]	[0.91943128 0.88888889]	[0.94865526 0.75294118]
13	13	0.266935259103775	0.8909711259357336	0.8685333333333334	[0.9665272  0.46938776]	[0.89883268 0.74193548]	[0.93145161 0.575     ]
14	14	0.2649073600769043	0.8969462409397226	0.8670666666666667	[0.964      0.55769231]	[0.91287879 0.76315789]	[0.93774319 0.64444444]
15	15	0.25501760840415955	0.8991190100320823	0.8672	[0.93589744 0.42857143]	[0.88663968 0.58333333]	[0.91060291 0.49411765]
16	16	0.25264814496040344	0.9015294257439188	0.8693333333333333	[0.9754902  0.36363636]	[0.87665198 0.76190476]	[0.92343387 0.49230769]
17	17	0.24301449954509735	0.9058919386871722	0.8657333333333334	[0.94366197 0.58823529]	[0.90540541 0.71428571]	[0.92413793 0.64516129]
18	18	0.23607869446277618	0.9088115971550305	0.8477333333333333	[0.93264249 0.7       ]	[0.9375     0.68292683]	[0.93506494 0.69135802]
19	19	0.2247447371482849	0.9171631783537879	0.8658666666666667	[0.9375     0.54347826]	[0.89552239 0.67567568]	[0.91603053 0.60240964]
20	20	0.22113554179668427	0.9277893771961094	0.8625333333333334	[0.93220339 0.4375    ]	[0.859375   0.63636364]	[0.89430894 0.51851852]
21	21	0.2068329155445099	0.9335777698562238	0.8577333333333333	[0.9245283  0.42222222]	[0.88288288 0.54285714]	[0.90322581 0.475     ]
22	22	0.1941385567188263	0.940147001408905	0.8570666666666666	[0.9375     0.54347826]	[0.89552239 0.67567568]	[0.91603053 0.60240964]
23	23	0.18379491567611694	0.9481930369540493	0.8574666666666667	[0.95754717 0.64444444]	[0.92694064 0.76315789]	[0.94199536 0.69879518]
24	24	0.17050954699516296	0.9560693249138531	0.856	[0.93133047 0.45454545]	[0.90041494 0.55555556]	[0.91561181 0.5       ]
