	epochs	train_losses	train_accs	dev_accs	dev_prec	dev_rec	dev_f
0	0	0.39957645535469055	0.8277231756378266	0.8238666666666666	[1.         0.03174603]	[0.820059 1.      ]	[0.90113452 0.06153846]
1	1	0.3767051696777344	0.8453260002376466	0.8409333333333333	[0.95566502 0.39285714]	[0.85087719 0.70967742]	[0.90023202 0.50574713]
2	2	0.351631224155426	0.8535248086095976	0.8484	[0.98113208 0.27586207]	[0.832 0.8  ]	[0.9004329  0.41025641]
3	3	0.34340888261795044	0.8693792330804094	0.8566666666666667	[0.95979899 0.54      ]	[0.89252336 0.77142857]	[0.92493947 0.63529412]
4	4	0.3197647035121918	0.8707541885216683	0.86	[0.97115385 0.38297872]	[0.87445887 0.75      ]	[0.92027335 0.50704225]
5	5	0.3174873888492584	0.8807183717811614	0.8658666666666667	[0.95360825 0.53846154]	[0.88516746 0.75675676]	[0.91811414 0.62921348]
6	6	0.3001782298088074	0.8837568535587581	0.8644	[0.94086022 0.36956522]	[0.85784314 0.60714286]	[0.8974359  0.45945946]
7	7	0.2888427972793579	0.8904279336626436	0.866	[0.97222222 0.53061224]	[0.88383838 0.83870968]	[0.92592593 0.65      ]
8	8	0.28254151344299316	0.8954694369472594	0.8653333333333333	[0.93162393 0.47727273]	[0.90456432 0.56756757]	[0.91789474 0.51851852]
9	9	0.27200576663017273	0.9002393440953302	0.8646666666666667	[0.95515695 0.60869565]	[0.92207792 0.73684211]	[0.93832599 0.66666667]
10	10	0.2671348750591278	0.9048734531751286	0.8678666666666667	[0.97916667 0.47727273]	[0.89099526 0.84      ]	[0.93300248 0.60869565]
11	11	0.2560330331325531	0.903006229736382	0.8653333333333333	[0.9478673  0.51515152]	[0.92592593 0.60714286]	[0.93676815 0.55737705]
12	12	0.2514519989490509	0.9139209994737825	0.8666666666666667	[0.94949495 0.65306122]	[0.91707317 0.76190476]	[0.93300248 0.7032967 ]
13	13	0.2341696172952652	0.9197263668924309	0.8662666666666666	[0.93305439 0.59183673]	[0.91769547 0.64444444]	[0.9253112  0.61702128]
14	14	0.22326137125492096	0.924564173074638	0.8684	[0.972      0.51923077]	[0.90671642 0.79411765]	[0.93822394 0.62790698]
15	15	0.2114737629890442	0.9300809695982075	0.8682666666666666	[0.92735043 0.3877551 ]	[0.87854251 0.52777778]	[0.9022869  0.44705882]
16	16	0.20523230731487274	0.9351394476413573	0.8664	[0.95098039 0.43181818]	[0.88584475 0.65517241]	[0.91725768 0.52054795]
17	17	0.18862400949001312	0.9426932151890139	0.8602666666666666	[0.90610329 0.64705882]	[0.91469194 0.62264151]	[0.91037736 0.63461538]
18	18	0.176100954413414	0.952351852794894	0.8608	[0.92746114 0.6       ]	[0.91794872 0.63157895]	[0.92268041 0.61538462]
19	19	0.15907488763332367	0.9549489908506051	0.8609333333333333	[0.91666667 0.65217391]	[0.91666667 0.65217391]	[0.91666667 0.65217391]
20	20	0.14670854806900024	0.9641323352175315	0.8685333333333334	[0.90254237 0.4375    ]	[0.85542169 0.54901961]	[0.87835052 0.48695652]
21	21	0.13943973183631897	0.968783419055864	0.856	[0.91037736 0.62222222]	[0.91904762 0.59574468]	[0.91469194 0.60869565]
22	22	0.12056277692317963	0.9720765222114716	0.856	[0.93229167 0.52173913]	[0.89054726 0.64864865]	[0.91094148 0.57831325]
23	23	0.11219188570976257	0.9776442430106431	0.8672	[0.95283019 0.57777778]	[0.91402715 0.72222222]	[0.9330254  0.64197531]
24	24	0.10264983028173447	0.9833817113951554	0.8588	[0.93991416 0.63636364]	[0.93191489 0.66666667]	[0.93589744 0.65116279]
