	epochs	train_losses	train_accs	dev_accs	dev_prec	dev_rec	dev_f
0	0	0.45053717494010925	0.7962349985571455	0.7868	[0.90186916 0.36781609]	[0.77822581 0.60377358]	[0.83549784 0.45714286]
1	1	0.4231216013431549	0.8070479197433417	0.7994666666666667	[0.92462312 0.56060606]	[0.86384977 0.71153846]	[0.89320388 0.62711864]
2	2	0.42795589566230774	0.8097469063502571	0.7996	[0.9375     0.55223881]	[0.83333333 0.78723404]	[0.88235294 0.64912281]
3	3	0.4130050241947174	0.8138038736398975	0.8033333333333333	[0.89166667 0.60869565]	[0.79850746 0.76363636]	[0.84251969 0.67741935]
4	4	0.4052369296550751	0.8185398312709001	0.804	[0.93785311 0.59090909]	[0.82178218 0.82539683]	[0.87598945 0.68874172]
5	5	0.41358914971351624	0.8205089032608511	0.8012	[0.89655172 0.44578313]	[0.81889764 0.60655738]	[0.85596708 0.51388889]
6	6	0.3992418348789215	0.8239208297261972	0.8096	[0.90604027 0.54736842]	[0.75842697 0.78787879]	[0.82568807 0.64596273]
7	7	0.3884357511997223	0.8281814941182462	0.8009333333333334	[0.90229885 0.73239437]	[0.89204545 0.75362319]	[0.89714286 0.74285714]
8	8	0.3768647313117981	0.8290981310790854	0.8002666666666667	[0.90909091 0.46753247]	[0.7960199  0.69230769]	[0.84880637 0.55813953]
9	9	0.3813064992427826	0.8377552579314559	0.7988	[0.93181818 0.55421687]	[0.8159204  0.79310345]	[0.87002653 0.65248227]
10	10	0.3646417558193207	0.8442396156914668	0.7945333333333333	[0.93814433 0.63157895]	[0.86666667 0.8       ]	[0.9009901  0.70588235]
11	11	0.35160964727401733	0.8442905399670689	0.8009333333333334	[0.96067416 0.64788732]	[0.87244898 0.86792453]	[0.9144385  0.74193548]
12	12	0.33740949630737305	0.8580910186552596	0.7938666666666667	[0.83050847 0.69333333]	[0.86470588 0.63414634]	[0.84726225 0.66242038]
13	13	0.3321041762828827	0.8660012561321315	0.7872	[0.93220339 0.48648649]	[0.81280788 0.75      ]	[0.86842105 0.59016393]
14	14	0.31645283102989197	0.8755071209112051	0.7877333333333333	[0.92513369 0.49411765]	[0.80092593 0.75      ]	[0.85856079 0.59574468]
15	15	0.296594500541687	0.8867613858192868	0.7781333333333333	[0.85326087 0.56521739]	[0.83957219 0.59090909]	[0.84636119 0.57777778]
16	16	0.2921524941921234	0.8872027295411723	0.7857333333333333	[0.89759036 0.48192771]	[0.77604167 0.70175439]	[0.83240223 0.57142857]
17	17	0.2687019407749176	0.9022253908438153	0.7782666666666667	[0.83233533 0.63076923]	[0.85276074 0.5942029 ]	[0.84242424 0.6119403 ]
18	18	0.2493777573108673	0.9136494033372375	0.7812	[0.88513514 0.5942029 ]	[0.82389937 0.70689655]	[0.8534202  0.64566929]
19	19	0.238604336977005	0.9223404797066762	0.7770666666666667	[0.89447236 0.55172414]	[0.8202765  0.69565217]	[0.85576923 0.61538462]
20	20	0.22033531963825226	0.9251922391403983	0.7793333333333333	[0.86428571 0.55844156]	[0.78064516 0.69354839]	[0.82033898 0.61870504]
21	21	0.20862334966659546	0.9369387720459676	0.7682666666666667	[0.9068323  0.66292135]	[0.82954545 0.7972973 ]	[0.86646884 0.72392638]
22	22	0.1941806524991989	0.9414710325745617	0.7708	[0.86163522 0.59649123]	[0.85625    0.60714286]	[0.85893417 0.60176991]
23	23	0.17705780267715454	0.9478705165419022	0.7708	[0.88659794 0.52747253]	[0.8        0.68571429]	[0.84107579 0.59627329]
24	24	0.16075468063354492	0.9555091578822291	0.7713333333333333	[0.84390244 0.6969697 ]	[0.89637306 0.58974359]	[0.86934673 0.63888889]
