	epochs	train_losses	train_accs	dev_accs	dev_prec	dev_rec	dev_f
0	0	0.4219001531600952	0.8116311045475378	0.7925333333333333	[0.87850467 0.3908046 ]	[0.78008299 0.56666667]	[0.82637363 0.46258503]
1	1	0.39006534218788147	0.833239972161396	0.8081333333333334	[0.93969849 0.62121212]	[0.88207547 0.77358491]	[0.90997567 0.68907563]
2	2	0.38103339076042175	0.8416085281186875	0.8129333333333333	[0.9        0.58208955]	[0.8372093  0.70909091]	[0.86746988 0.63934426]
3	3	0.35647526383399963	0.8562407699750471	0.8176	[0.9        0.73913043]	[0.85714286 0.80952381]	[0.87804878 0.77272727]
4	4	0.33225417137145996	0.8657126852370525	0.8154666666666667	[0.83615819 0.78409091]	[0.88622754 0.70408163]	[0.86046512 0.74193548]
5	5	0.32447779178619385	0.8781382084839843	0.8225333333333333	[0.87931034 0.59036145]	[0.85714286 0.63636364]	[0.86808511 0.6125    ]
6	6	0.29357510805130005	0.89392473392066	0.822	[0.93288591 0.62105263]	[0.79428571 0.85507246]	[0.85802469 0.7195122 ]
7	7	0.26741182804107666	0.9119689022423656	0.8222666666666667	[0.86781609 0.8028169 ]	[0.91515152 0.7125    ]	[0.89085546 0.75496689]
8	8	0.23579850792884827	0.9172650269049922	0.8134666666666667	[0.88068182 0.58441558]	[0.82887701 0.68181818]	[0.85399449 0.62937063]
9	9	0.21430952847003937	0.937023645838638	0.8112	[0.85795455 0.72289157]	[0.86781609 0.70588235]	[0.86285714 0.71428571]
10	10	0.17942588031291962	0.9525725246558367	0.8184	[0.87113402 0.68421053]	[0.87564767 0.67532468]	[0.87338501 0.67973856]
11	11	0.15130731463432312	0.9505355536317496	0.8217333333333333	[0.8988764  0.66197183]	[0.86956522 0.72307692]	[0.8839779  0.69117647]
12	12	0.1254463791847229	0.967663084992616	0.7937333333333333	[0.73446328 0.69333333]	[0.8496732  0.52525253]	[0.78787879 0.59770115]
13	13	0.11000620573759079	0.9762013885352481	0.8024	[0.89265537 0.75675676]	[0.89772727 0.74666667]	[0.89518414 0.75167785]
14	14	0.0964004397392273	0.9800716334810138	0.81	[0.93582888 0.67058824]	[0.86206897 0.82608696]	[0.8974359  0.74025974]
15	15	0.07656078040599823	0.9824820491928502	0.8046666666666666	[0.85326087 0.60869565]	[0.85326087 0.60869565]	[0.85326087 0.60869565]
16	16	0.06251757591962814	0.987218006823853	0.804	[0.78313253 0.79518072]	[0.88435374 0.64705882]	[0.83067093 0.71351351]
17	17	0.05595386400818825	0.9901885895673134	0.8132	[0.8742515  0.56923077]	[0.83908046 0.63793103]	[0.85630499 0.60162602]
18	18	0.050052423030138016	0.9887627098504523	0.8089333333333333	[0.87162162 0.68115942]	[0.85430464 0.71212121]	[0.86287625 0.6962963 ]
19	19	0.048892635852098465	0.9921746363157984	0.814	[0.86432161 0.64367816]	[0.84729064 0.6746988 ]	[0.85572139 0.65882353]
20	20	0.03844833001494408	0.993753288859466	0.8092	[0.85       0.74025974]	[0.85611511 0.73076923]	[0.85304659 0.73548387]
21	21	0.03712216019630432	0.9926159800376839	0.8076	[0.85093168 0.64044944]	[0.81065089 0.7037037 ]	[0.83030303 0.67058824]
22	22	0.0333823561668396	0.9945511025105668	0.8133333333333334	[0.86163522 0.77192982]	[0.91333333 0.66666667]	[0.88673139 0.71544715]
23	23	0.03920629993081093	0.9934477432058529	0.8118666666666666	[0.88659794 0.65934066]	[0.84729064 0.73170732]	[0.86649874 0.69364162]
24	24	0.026681074872612953	0.9969105939468011	0.8069333333333333	[0.82439024 0.83333333]	[0.93888889 0.6043956 ]	[0.87792208 0.70063694]
