	epochs	train_losses	train_accs	dev_accs	dev_prec	dev_rec	dev_f
0	0	0.42180269956588745	0.8131927823326713	0.7958666666666666	[0.85046729 0.4137931 ]	[0.78111588 0.52941176]	[0.81431767 0.46451613]
1	1	0.3936093747615814	0.8288604844596086	0.8052	[0.91959799 0.60606061]	[0.87559809 0.71428571]	[0.89705882 0.6557377 ]
2	2	0.38579580187797546	0.8351241703586767	0.8101333333333334	[0.88125    0.56716418]	[0.82941176 0.66666667]	[0.85454545 0.61290323]
3	3	0.36765438318252563	0.8476515421568128	0.8189333333333333	[0.875      0.69565217]	[0.83333333 0.76190476]	[0.85365854 0.72727273]
4	4	0.3468250334262848	0.8557145524604912	0.8181333333333334	[0.90960452 0.69318182]	[0.85638298 0.79220779]	[0.88219178 0.73939394]
5	5	0.34593623876571655	0.8636247899373631	0.8212	[0.90086207 0.55421687]	[0.8495935  0.66666667]	[0.87447699 0.60526316]
6	6	0.316103458404541	0.8701940214900443	0.818	[0.95302013 0.6       ]	[0.78888889 0.890625  ]	[0.86322188 0.71698113]
7	7	0.30189600586891174	0.8899526404236899	0.8241333333333334	[0.9137931  0.74647887]	[0.89830508 0.77941176]	[0.90598291 0.76258993]
8	8	0.2781001329421997	0.8972348118348017	0.8177333333333333	[0.90340909 0.50649351]	[0.8071066  0.69642857]	[0.85254692 0.58646617]
9	9	0.26794978976249695	0.9107127701108452	0.82	[0.84659091 0.73493976]	[0.87134503 0.69318182]	[0.85878963 0.71345029]
10	10	0.22724461555480957	0.9289945850520276	0.8177333333333333	[0.88659794 0.78947368]	[0.91489362 0.73170732]	[0.90052356 0.75949367]
11	11	0.21122387051582336	0.934222810680518	0.8221333333333334	[0.8988764  0.77464789]	[0.90909091 0.75342466]	[0.9039548  0.76388889]
12	12	0.18187080323696136	0.9458674950348831	0.812	[0.85310734 0.8       ]	[0.90963855 0.69767442]	[0.88046647 0.74534161]
13	13	0.1626519113779068	0.9527083227241092	0.8146666666666667	[0.88135593 0.68918919]	[0.87150838 0.70833333]	[0.87640449 0.69863014]
14	14	0.1357889324426651	0.9630120011542835	0.8145333333333333	[0.89304813 0.63529412]	[0.84343434 0.72972973]	[0.86753247 0.67924528]
15	15	0.12399518489837646	0.970803415321417	0.8128	[0.86413043 0.52173913]	[0.828125   0.59016393]	[0.84574468 0.55384615]
16	16	0.10587387531995773	0.9691229142265452	0.8209333333333333	[0.92771084 0.72289157]	[0.8700565  0.83333333]	[0.89795918 0.77419355]
17	17	0.09201271086931229	0.9787136527982889	0.8185333333333333	[0.89221557 0.61538462]	[0.85632184 0.68965517]	[0.87390029 0.6504065 ]
18	18	0.07856052368879318	0.9846038940096077	0.8133333333333334	[0.91216216 0.79710145]	[0.90604027 0.80882353]	[0.90909091 0.80291971]
19	19	0.06732036918401718	0.982142554022169	0.8122666666666667	[0.94472362 0.65517241]	[0.86238532 0.83823529]	[0.90167866 0.73548387]
20	20	0.07264349609613419	0.9860467484850028	0.8034666666666667	[0.90714286 0.71428571]	[0.85234899 0.80882353]	[0.87889273 0.75862069]
21	21	0.060397010296583176	0.9905450594965287	0.8088	[0.76397516 0.65168539]	[0.7987013  0.60416667]	[0.78095238 0.62702703]
22	22	0.04802822321653366	0.9907317818404033	0.8188	[0.88679245 0.63157895]	[0.87037037 0.66666667]	[0.87850467 0.64864865]
23	23	0.05666174739599228	0.9889833817113951	0.8129333333333333	[0.91752577 0.68131868]	[0.85990338 0.79487179]	[0.88778055 0.73372781]
24	24	0.042304590344429016	0.9906808575648012	0.8122666666666667	[0.86829268 0.81818182]	[0.93684211 0.66666667]	[0.90126582 0.73469388]
