	epochs	train_losses	train_accs	dev_accs	dev_prec	dev_rec	dev_f
0	0	0.23486246168613434	0.9137479806138934	0.9133990539763936	[0.99       0.53571429]	[0.88392857 0.9375    ]	[0.93396226 0.68181818]
1	1	0.21934974193572998	0.9220409262250943	0.9199858538526148	[0.95901639 0.76190476]	[0.95901639 0.76190476]	[0.95901639 0.76190476]
2	2	0.20682869851589203	0.9271943995691976	0.9228592900402282	[0.94382022 0.63636364]	[0.91304348 0.73684211]	[0.9281768  0.68292683]
3	3	0.20155465602874756	0.9310500807754443	0.9274125812298307	[0.99074074 1.        ]	[1.         0.91666667]	[0.99534884 0.95652174]
4	4	0.17981553077697754	0.9342703284868067	0.9294460899164493	[0.97478992 0.88461538]	[0.97478992 0.88461538]	[0.97478992 0.88461538]
5	5	0.1780102252960205	0.9373828756058158	0.9320100791300119	[0.975      0.55555556]	[0.90697674 0.83333333]	[0.93975904 0.66666667]
6	6	0.1754687875509262	0.9395099623047927	0.9345298616329959	[0.99029126 0.76923077]	[0.91891892 0.96774194]	[0.95327103 0.85714286]
7	7	0.1669681966304779	0.9408831448572967	0.9356792361080412	[0.96460177 0.79310345]	[0.94782609 0.85185185]	[0.95614035 0.82142857]
8	8	0.16451244056224823	0.9412385568120625	0.9345740683435746	[0.98148148 0.77777778]	[0.94642857 0.91304348]	[0.96363636 0.84      ]
9	9	0.16133514046669006	0.9450242326332795	0.9363423367667212	[0.97520661 0.78571429]	[0.9516129 0.88     ]	[0.96326531 0.83018868]
10	10	0.15473569929599762	0.9480290791599354	0.9375801246629238	[0.97029703 0.83333333]	[0.96078431 0.86956522]	[0.96551724 0.85106383]
11	11	0.15019913017749786	0.9514485729671514	0.9372264709782945	[0.8989899  0.84210526]	[0.9673913  0.61538462]	[0.93193717 0.71111111]
12	12	0.14038020372390747	0.9543511039310716	0.9364307501878785	[0.96703297 0.72222222]	[0.94623656 0.8125    ]	[0.95652174 0.76470588]
13	13	0.13957037031650543	0.9587022078621432	0.9343972415012599	[0.97297297 0.6875    ]	[0.91525424 0.88      ]	[0.94323144 0.77192982]
14	14	0.1255088746547699	0.9610500807754443	0.9359444763715132	[0.96341463 0.95833333]	[0.9875     0.88461538]	[0.97530864 0.92      ]
15	15	0.11292856931686401	0.9654227248249866	0.9349719287387825	[0.97 0.68]	[0.92380952 0.85      ]	[0.94634146 0.75555556]
16	16	0.11120409518480301	0.9707000538502962	0.9351487555810972	[0.97826087 0.88235294]	[0.97826087 0.88235294]	[0.97826087 0.88235294]
17	17	0.09906747937202454	0.9743134087237479	0.9337783475531586	[0.97435897 0.9375    ]	[0.98701299 0.88235294]	[0.98064516 0.90909091]
18	18	0.09308768808841705	0.9770543887991384	0.9307722912338093	[0.95833333 1.        ]	[1.   0.84]	[0.9787234  0.91304348]
19	19	0.07821682840585709	0.980910070005385	0.9330268334733213	[0.96       0.94444444]	[0.98969072 0.80952381]	[0.97461929 0.87179487]
20	20	0.07528205960988998	0.9819601507808293	0.9282083020202466	[0.94444444 0.75      ]	[0.96747967 0.63157895]	[0.95582329 0.68571429]
21	21	0.07185011357069016	0.9835810446957458	0.9284735422837187	[0.91366906 0.84210526]	[0.97692308 0.57142857]	[0.94423792 0.68085106]
22	22	0.06418468803167343	0.9853742595584276	0.9319216657088546	[0.96666667 0.82758621]	[0.94565217 0.88888889]	[0.95604396 0.85714286]
23	23	0.055174268782138824	0.9876736672051696	0.9351045488705185	[0.97241379 0.56521739]	[0.93377483 0.76470588]	[0.9527027 0.65     ]
24	24	0.0536806583404541	0.9900915455035003	0.9285177489942973	[0.9893617  0.83333333]	[0.96875 0.9375 ]	[0.97894737 0.88235294]
