	epochs	train_losses	train_accs	dev_accs	dev_prec	dev_rec	dev_f
0	0	0.5701419115066528	0.8301927847164803	0.8210957882966828	[0.72786885 0.89226519]	[0.85057471 0.7955665 ]	[0.7844523  0.84114583]
1	1	0.47797057032585144	0.8432917011184125	0.8333954528512859	[0.77258567 0.89230769]	[0.85517241 0.82660333]	[0.81178396 0.85819975]
2	2	0.37650978565216064	0.854998041690239	0.8568766306373462	[0.71237458 0.95142857]	[0.92608696 0.7947494 ]	[0.80529301 0.86605982]
3	3	0.33885085582733154	0.8723182035771792	0.8740216175922475	[0.86666667 0.92559524]	[0.9122807  0.88603989]	[0.88888889 0.90538574]
4	4	0.3048366606235504	0.8808912485312677	0.8799850913156914	[0.77257525 0.95714286]	[0.93902439 0.83126551]	[0.84770642 0.88977424]
5	5	0.2816488742828369	0.8925540711084033	0.8941483414088707	[0.86029412 0.93582888]	[0.90697674 0.90206186]	[0.88301887 0.91863517]
6	6	0.2717873156070709	0.8790199747595631	0.8807305255311219	[0.76221498 0.97560976]	[0.96296296 0.83140878]	[0.85090909 0.89775561]
7	7	0.2675204575061798	0.8954262587579964	0.8934029071934402	[0.9        0.87160494]	[0.86170213 0.90745501]	[0.88043478 0.88916877]
8	8	0.25852662324905396	0.8934244310022195	0.8893030190085724	[0.81458967 0.93932039]	[0.91467577 0.86383929]	[0.86173633 0.9       ]
9	9	0.24884675443172455	0.902867835850124	0.9001118151323145	[0.846875   0.94892473]	[0.93448276 0.87810945]	[0.88852459 0.9121447 ]
10	10	0.24267832934856415	0.898646590365116	0.8907938874394334	[0.825      0.95419847]	[0.93617021 0.87006961]	[0.87707641 0.91019417]
11	11	0.23853643238544464	0.9050002175899734	0.8978755124860232	[0.82697947 0.94607843]	[0.92763158 0.86741573]	[0.8744186  0.90504103]
12	12	0.2357015758752823	0.8981243744288263	0.8926574729780097	[0.80448718 0.95405405]	[0.93656716 0.852657  ]	[0.86551724 0.9005102 ]
13	13	0.23422455787658691	0.9043039296749206	0.8986209467014536	[0.86166008 0.93902439]	[0.91596639 0.89795918]	[0.88798371 0.91803279]
14	14	0.22998611629009247	0.9130510466077724	0.899366380916884	[0.88161994 0.91566265]	[0.88993711 0.90909091]	[0.885759   0.91236495]
15	15	0.22131218016147614	0.9128769746290091	0.9016026835631755	[0.90087464 0.9025641 ]	[0.89048991 0.9119171 ]	[0.89565217 0.90721649]
16	16	0.21711505949497223	0.9080464772183298	0.8945210585165859	[0.84083045 0.96491228]	[0.95294118 0.87765957]	[0.89338235 0.91922006]
17	17	0.21527807414531708	0.9208407676574264	0.8997390980245993	[0.86585366 0.93434343]	[0.91612903 0.89371981]	[0.89028213 0.91358025]
18	18	0.21469847857952118	0.9226685234344402	0.903838986209467	[0.88059701 0.92344498]	[0.90214067 0.90610329]	[0.89123867 0.91469194]
19	19	0.2069132924079895	0.9207972496627356	0.8978755124860232	[0.85666667 0.95778364]	[0.94139194 0.89408867]	[0.89703316 0.92484076]
20	20	0.2009989470243454	0.9268897689194482	0.9019754006708908	[0.91455696 0.92271663]	[0.89751553 0.93586698]	[0.90595611 0.92924528]
21	21	0.19682668149471283	0.9276730928238827	0.9045844204248975	[0.90460526 0.92408377]	[0.90460526 0.92408377]	[0.90460526 0.92408377]
22	22	0.19312670826911926	0.934287828016885	0.9034662691017518	[0.88519637 0.88174807]	[0.86430678 0.90026247]	[0.87462687 0.89090909]
23	23	0.18680450320243835	0.9385525914965839	0.9019754006708908	[0.89919355 0.92145015]	[0.89558233 0.92424242]	[0.89738431 0.92284418]
24	24	0.1772620975971222	0.93672483571957	0.8982482295937384	[0.86577181 0.90560472]	[0.88965517 0.88472622]	[0.87755102 0.89504373]
