	epochs	train_losses	train_accs	dev_accs
0	0	0.8806064128875732	0.5572914400104443	0.5624301155423034
1	1	0.7539281249046326	0.735584664258671	0.742079761461051
2	2	0.5637416243553162	0.8206188258845032	0.8184867685426761
3	3	0.45023852586746216	0.8464249967361503	0.8386134923592993
4	4	0.39958181977272034	0.8544323077592585	0.8449496831904585
5	5	0.3791094124317169	0.8686191740284608	0.8423406634364518
6	6	0.36263784766197205	0.8529091779450803	0.845695117405889
7	7	0.35103878378868103	0.8807606945471953	0.841222512113306
8	8	0.3405652642250061	0.8826319683188999	0.8553857622064853
9	9	0.3270604610443115	0.8861134078941643	0.8464405516213194
10	10	0.32044368982315063	0.87614778710997	0.8483041371598956
11	11	0.3167901635169983	0.8970364245615562	0.8486768542676109
12	12	0.30806949734687805	0.9043909656643022	0.8453224002981737
13	13	0.29812562465667725	0.9066103833935333	0.8419679463287365
14	14	0.29134953022003174	0.8905087253579355	0.8475587029444651
15	15	0.28821778297424316	0.9126593846555551	0.842713380544167
16	16	0.28380927443504333	0.8905957613473171	0.8464405516213194
17	17	0.2777908146381378	0.9138778885068976	0.8468132687290346
18	18	0.26987648010253906	0.9179685800078332	0.839731643682445
19	19	0.2654549777507782	0.9159667522520563	0.839731643682445
20	20	0.2618519067764282	0.9198833717742286	0.8371226239284383
21	21	0.25879716873168945	0.9234953653335655	0.8389862094670145
22	22	0.2549494206905365	0.9214065015884068	0.842713380544167
23	23	0.2450534701347351	0.9125288306714826	0.8345136041744317
24	24	0.2454146295785904	0.9246703511902171	0.845695117405889
